   , Brunei Darussalam , Indonesia , Malaysia , Philippines , Thailand , Viet Nam , Myanmar , Japan , Hong Kong , China , Taiwan ," Korea, Republic Of ", India , Pakistan , Sri Lanka , Saudi Arabia , Kuwait , UAE , United Kingdom , Germany , France , Italy , Netherlands , Greece , Belgium & Luxembourg , Switzerland , Austria , Scandinavia , CIS & Eastern Europe , USA , Canada , Australia , New Zealand , Africa 
 1995 Aug , na , na , na , na , na , na , na ,"133,274","37,377","16,538","69,253","39,068","15,031","4,881","4,813","4,520",514,"2,775","27,889","14,663","8,539","8,262","6,889","1,905","1,925","3,907","1,662","5,301","3,709","26,901","5,161","27,811","6,666","6,973"
 1995 Sep , na , na , na , na , na , na , na ,"111,098","18,148","15,175","45,343","19,773","16,753","4,467","3,767","2,108",307,"1,245","24,756","17,604","5,623","4,284","6,941","1,102","1,695","4,424","2,444","5,718","3,360","26,413","3,770","34,508","7,381","7,163"
 1995 Oct , na , na , na , na , na , na , na ,"87,540","18,301","17,825","40,464","23,076","16,989","4,778","3,699",845,262,"1,000","27,956","19,090","6,928","3,727","6,779","1,319","2,002","5,531","1,897","6,969","3,511","33,019","4,974","33,453","5,428","7,153"
 1995 Nov , na , na , na , na , na , na , na ,"103,551","19,353","19,924","32,443","27,753","14,733","5,380","4,078",837,226,958,"26,406","18,290","5,697","3,284","5,907","1,241","1,625","5,646","2,422","7,988","4,152","29,697","5,572","29,211","4,598","7,199"
 1995 Dec , na , na , na , na , na , na , na ,"97,791","24,726","21,046","35,991","33,834","16,662","4,219","5,366","1,220",267,"1,101","22,325","12,860","5,189","3,087","4,961","1,653","1,324","4,419","1,585","7,161","4,057","29,580","5,905","28,681","5,225","9,880"
 1996 Jan ,"4,600","75,854","47,953","10,594","16,996","1,536", na ,"105,750","15,868","19,510","36,473","57,136","14,707","4,171","3,638",852,150,879,"24,826","16,463","4,986","3,862","5,276","1,114","1,375","4,755","1,928","8,406","5,520","33,675","6,300","33,004","5,216","8,365"
 1996 Feb ,"5,207","98,406","57,795","10,397","15,892","1,345", na ,"84,686","32,198","18,351","55,018","32,462","12,537","2,799","3,003",825,471,693,"25,563","17,082","7,467","3,041","5,019",900,"1,513","4,789","2,094","8,014","4,136","30,853","6,215","21,396","3,645","4,445"
 1996 Mar ,"4,290","75,483","55,908","13,487","23,085","1,605", na ,"122,188","21,981","20,888","42,580","42,380","15,635","4,249","4,034",832,281,"1,081","29,122","21,450","7,025","3,324","5,662","1,039","1,734","5,195","2,117","8,993","3,908","34,876","6,922","28,934","4,881","6,954"
 1996 Apr ,"4,063","73,102","57,477","15,889","31,643","1,467", na ,"80,078","26,255","18,288","46,446","26,761","17,905","3,903","4,996","1,325",383,"1,260","27,421","17,526","7,645","2,646","5,213",994,"1,712","5,266","1,810","7,067","3,895","30,082","4,828","25,767","5,551","7,386"
 1996 May ,"5,266","72,856","60,156","14,858","23,901","1,681", na ,"78,901","18,752","26,045","40,295","27,975","21,722","3,381","3,700",708,226,787,"20,758","13,524","5,859","2,844","4,861",919,"1,295","4,435","1,391","4,847","3,885","28,492","4,341","25,775","5,325","5,698"
 1996 Jun ,"4,543","106,646","64,730","11,724","18,922","1,969", na ,"91,658","24,476","11,006","42,114","22,244","20,141","4,480","3,697",706,292,"1,102","20,122","10,746","5,188","2,730","4,760","1,261","1,319","3,953","1,251","6,082","3,584","32,088","4,571","29,769","6,303","5,407"
 1996 Jul ,"5,358","110,503","55,219","11,684","20,151","1,954", na ,"99,010","28,195","17,949","55,703","31,934","17,268","5,458","3,896","3,012",625,"3,246","24,253","12,833","6,956","3,723","6,749","1,639","1,999","5,086","1,930","7,801","3,871","31,229","5,535","33,270","7,046","6,512"
 1996 Aug ,"6,245","82,822","56,621","11,997","19,165","2,126", na ,"114,635","37,623","17,662","57,162","37,145","16,020","4,038","3,744","4,568",685,"3,235","28,483","13,530","8,287","6,692","5,781","1,768","1,918","4,140","2,096","5,588","3,832","29,037","5,544","28,349","6,544","6,389"
 1996 Sep ,"4,597","75,232","52,026","12,566","16,500","2,350", na ,"103,706","18,581","15,127","34,036","19,266","15,872","3,493","3,575","1,421",243,"1,216","25,320","15,133","5,680","3,482","5,786",838,"1,692","4,418","1,592","5,727","3,361","27,605","4,011","33,247","7,181","6,736"
 1996 Oct ,"4,079","86,438","56,312","13,157","26,526","1,825", na ,"88,760","21,742","18,084","38,828","25,995","18,674","3,487","3,562",870,208,944,"29,589","19,584","5,959","3,265","6,135","1,172","1,858","6,326","2,114","7,743","3,480","32,914","5,323","34,093","5,577","6,875"
 1996 Nov ,"5,083","82,048","60,006","13,209","16,730","1,907", na ,"98,198","19,259","21,241","40,827","27,947","17,083","2,997","3,635",749,265,869,"30,458","18,668","5,716","3,225","5,696","1,005","1,689","6,583","2,735","8,726","4,569","32,954","6,133","28,433","4,957","5,969"
 1996 Dec ,"9,864","123,879","76,733","14,619","23,054","2,160", na ,"104,291","23,599","22,526","38,958","33,228","16,593","3,475","4,918","1,035",363,"1,190","26,594","14,097","5,905","3,065","5,132","1,223","2,050","5,706","1,975","7,931","4,367","30,199","5,851","29,556","5,495","8,880"
 1997 Jan ,"4,741","86,930","51,168","11,778","17,482","1,709","2,102","101,222","15,974","22,226","32,880","51,670","16,077","2,701","3,553",661,161,893,"28,846","14,742","5,483","3,671","5,456","1,023","1,751","5,102","1,964","9,438","5,266","34,682","6,356","35,033","5,411","6,728"
 1997 Feb ,"4,350","122,961","60,067","10,946","17,079","1,976","1,925","94,814","30,591","20,102","54,677","30,742","13,001","2,307","2,901",945,336,860,"29,078","15,246","5,259","2,679","4,880",737,"1,966","4,762","2,032","8,586","4,490","30,436","5,934","24,058","3,441","4,156"
 1997 Mar ,"3,739","90,223","54,780","16,024","20,685","1,792","2,378","115,936","26,423","19,995","42,163","37,501","17,075","3,804","3,691",922,263,997,"37,596","19,555","6,319","3,147","5,417","1,045","1,818","5,224","2,100","9,355","4,402","36,114","6,372","29,883","5,005","6,657"
 1997 Apr ,"3,969","88,338","59,677","15,666","29,631","1,823","2,640","81,059","19,824","20,813","44,600","19,877","18,352","2,953","4,333","1,439",329,"1,115","30,933","18,185","6,705","2,929","4,996",982,"1,685","5,092","1,893","7,403","3,667","32,040","4,960","26,843","6,013","5,762"
 1997 May ,"5,509","83,521","65,487","16,418","22,094","1,649","2,582","74,525","18,489","27,195","44,301","20,632","25,832","3,301","3,801",637,193,772,"24,766","14,618","5,886","2,937","4,790",925,"1,594","4,146","1,333","5,968","3,552","30,916","4,722","30,443","5,699","4,823"
 1997 Jun ,"4,842","111,073","59,035","13,033","17,245","2,153","2,605","88,117","19,497","19,459","51,044","19,279","21,988","3,833","3,573",879,374,"1,292","21,880","11,112","5,610","3,154","4,570","1,138","1,621","3,554","1,010","7,108","3,902","33,941","4,595","33,361","7,013","4,907"
 1997 Jul ,"5,896","143,679","56,137","13,902","17,195","2,162","2,257","103,095","24,406","15,101","59,691","26,850","20,394","4,495","3,784","3,320",919,"2,738","25,651","12,199","7,456","3,692","6,677","1,240","2,307","4,626","1,645","8,087","3,519","31,365","5,077","37,140","7,799","6,263"
 1997 Aug ,"6,119","91,044","52,493","12,757","13,662","2,203","2,306","109,875","34,052","20,025","48,729","32,187","19,021","3,851","4,501","3,030","1,187","2,764","28,989","13,719","8,854","7,193","5,668","1,603","2,161","3,729","1,629","5,976","3,068","29,273","5,261","32,763","6,999","5,906"
 1997 Sep ,"4,315","85,196","58,419","13,253","13,398","1,996","2,414","98,260","18,212","14,094","37,371","17,260","17,761","3,445","3,949",922,309,"1,045","25,188","13,194","5,952","3,700","5,505","1,062","1,857","3,935","1,431","5,794","3,143","27,835","3,847","38,277","6,940","5,930"
 1997 Oct ,"3,845","79,811","51,022","13,337","13,863","1,876","2,507","65,169","14,155","16,586","24,198","13,624","20,540","3,296","3,733",617,213,730,"25,982","12,420","5,362","2,837","5,155",972,"1,936","3,883","1,366","6,819","3,107","29,011","4,110","33,473","5,700","5,566"
 1997 Nov ,"5,331","86,661","52,918","13,791","12,736","1,903","2,595","80,014","17,991","18,598","26,745","18,583","17,872","3,109","3,953",735,201,859,"28,772","13,160","5,277","2,833","5,057","1,017","1,775","4,596","1,319","7,492","3,979","31,604","5,462","29,428","4,724","5,677"
 1997 Dec ,"8,498","102,105","60,839","14,552","15,247","2,262","2,923","81,950","25,219","20,918","33,381","10,230","18,699","3,679","5,365",891,270,"1,138","25,475","11,395","5,439","2,663","4,981","1,222","1,519","4,331","1,156","7,169","4,690","29,196","5,831","30,760","5,628","8,242"
 1998 Jan ,"4,243","76,199","43,368","11,731","12,183","1,947","1,301","67,732","22,846","24,498","37,008","5,425","17,096","2,677","3,727",910,228,850,"28,052","12,081","5,707","3,253","5,124",961,"1,551","4,317","1,270","8,213","5,409","28,848","5,985","35,837","5,610","6,833"
 1998 Feb ,"3,949","64,388","45,077","11,310","13,390","1,435","1,392","64,790","21,957","23,345","41,068","4,902","16,694","3,295","3,589",990,281,822,"32,740","13,531","7,865","3,148","5,190",880,"1,490","4,198","1,492","8,500","3,933","30,432","5,380","28,867","4,069","5,158"
 1998 Mar ,"5,660","63,396","44,830","12,981","15,029","1,884","1,773","80,598","24,235","21,438","25,321","5,479","17,510","3,051","4,215",993,184,"1,115","34,719","15,249","6,780","3,541","5,054","1,524","2,322","4,311","1,567","8,403","3,948","33,056","5,930","33,050","4,488","6,457"
 1998 Apr ,"4,981","59,552","44,793","14,996","17,979","1,850","1,813","54,096","28,389","20,174","27,173","5,797","19,397","2,445","5,080","1,685",347,"1,207","32,177","16,371","7,338","2,977","4,619",989,"1,910","4,529","1,812","7,156","3,251","27,264","4,725","33,725","6,505","7,114"
 1998 May ,"4,971","121,760","49,151","14,987","17,320","1,708","1,777","56,948","19,515","23,233","30,579","6,294","27,516","3,085","3,946",703,188,875,"25,235","11,978","6,309","2,812","4,798",775,"1,402","3,336","1,383","5,343","3,076","30,196","4,770","34,649","6,875","5,187"
 1998 Jun ,"4,713","77,611","43,702","12,061","14,562","2,021","1,485","65,582","21,328","20,735","33,537","6,441","23,374","3,182","3,634","1,186",285,"1,288","22,208","9,134","4,639","2,482","3,668",962,"1,241","2,493",776,"5,157","3,271","28,239","3,965","34,608","7,116","5,534"
 1998 Jul ,"5,133","79,119","41,413","11,130","15,094","1,928","1,369","85,403","26,338","30,318","32,648","8,611","20,872","3,688","4,265","5,303","1,582","3,659","26,971","11,019","6,512","3,384","5,669","1,098","1,934","4,264","1,351","6,584","3,161","28,157","4,789","40,049","9,849","6,896"
 1998 Aug ,"3,717","76,256","38,710","11,293","14,463","2,212","1,477","90,011","30,615","30,923","37,063","10,073","18,431","3,123","5,276","4,534","1,713","3,746","33,194","13,756","8,982","6,950","5,265","1,894","1,901","3,295","1,730","5,223","3,179","26,333","4,809","36,162","8,134","7,239"
 1998 Sep ,"4,055","63,871","43,272","10,863","14,238","1,715","1,390","80,645","17,543","18,523","21,404","8,791","19,889","2,429","4,436","1,111",495,"1,304","27,971","13,437","4,696","3,151","4,457",985,"1,422","3,244","1,126","4,808","2,483","23,019","4,306","39,610","9,830","6,101"
 1998 Oct ,"3,929","73,537","38,392","11,221","16,628","1,874","1,564","58,112","21,358","22,143","22,512","11,286","22,960","2,544","4,347","1,017",232,992,"31,285","15,213","5,315","3,127","5,371","1,036","1,614","4,814","1,716","7,443","2,790","27,087","5,478","41,035","7,814","6,554"
 1998 Nov ,"5,165","73,958","38,597","11,423","14,128","2,048","1,265","64,603","17,287","27,121","26,326","13,125","18,623","2,554","4,411",982,218,972,"32,575","15,685","5,653","2,948","5,453","1,115","1,815","5,207","2,026","7,877","3,534","30,509","7,252","34,034","5,817","7,123"
 1998 Dec ,"8,954","100,071","48,264","11,681","18,993","2,051","1,856","75,193","21,692","30,831","27,721","13,035","21,321","2,794","6,192",933,202,"1,447","30,812","11,752","5,878","3,023","5,405","1,329","1,558","4,246","1,331","7,934","4,012","29,493","6,877","35,602","5,467","8,943"
 1999 Jan ,"4,629","114,115","37,231","10,616","15,062","1,658","1,380","69,791","14,612","33,918","26,301","17,221","18,325","2,093","3,998","1,355",412,"1,370","30,889","13,473","5,516","5,253","5,620","1,355","1,438","4,513","1,730","9,042","4,933","30,107","7,170","43,320","6,361","7,368"
 1999 Feb ,"3,560","73,732","36,404","10,169","14,539","2,168","1,387","61,360","27,059","48,084","28,430","14,950","17,054","2,425","3,916",640,168,881,"35,283","13,792","6,198","3,285","5,273",810,"1,414","4,284","1,528","8,295","3,277","26,527","7,021","28,788","4,029","5,741"
 1999 Mar ,"4,189","87,192","40,066","14,478","18,413","1,839","1,656","84,930","19,209","27,406","21,419","16,436","19,968","2,950","4,827","1,634",418,"1,469","40,521","18,143","6,935","3,732","5,596","1,033","1,648","4,807","1,589","8,974","3,533","34,533","9,431","39,232","5,587","7,785"
 1999 Apr ,"5,092","78,634","40,327","15,045","25,438","1,994","1,715","52,417","21,430","29,115","24,304","15,332","22,968","2,908","6,254",849,213,"1,049","33,589","15,209","6,645","2,546","4,591",939,"1,690","4,084","1,441","6,731","3,350","25,897","5,801","35,194","6,400","7,963"
 1999 May ,"4,831","122,691","48,918","16,309","21,066","2,131","1,591","56,751","16,900","29,293","21,435","18,961","32,145","3,042","4,698",943,152,"1,011","24,425","12,274","4,923","2,292","4,317",748,"1,335","3,307","1,002","4,563","3,123","26,598","4,945","34,752","6,862","5,892"
 1999 Jun ,"4,922","125,112","43,084","14,790","18,133","2,218","1,901","65,468","19,869","24,324","28,590","16,872","28,785","3,152","4,664","2,654",301,"1,562","24,007","10,499","4,801","2,523","3,875",874,"1,155","2,703",905,"5,424","2,638","32,718","4,294","38,786","9,052","6,891"
 1999 Jul ,"4,423","108,181","41,136","12,806","20,363","2,811","1,566","74,359","28,532","32,351","36,294","21,775","23,973","4,388","5,413","7,018","1,890","3,707","31,412","12,533","6,478","3,689","6,034","1,238","2,083","4,079","1,456","7,738","3,427","30,227","5,080","44,827","10,520","8,017"
 1999 Aug ,"5,150","91,673","38,867","12,806","17,500","2,856","1,641","94,967","30,325","32,085","33,295","23,531","21,432","3,853","6,106","4,339","2,422","4,015","38,247","12,825","8,530","8,601","6,125","2,073","1,766","3,387","1,590","5,422","3,123","29,348","5,495","40,588","7,625","8,258"
 1999 Sep ,"4,366","86,055","43,747","13,296","18,338","2,166","1,725","83,864","19,206","22,004","23,942","17,294","22,880","2,990","4,754","1,132",520,"1,417","34,068","13,483","4,886","3,425","5,491","1,009","1,641","3,283","1,210","5,117","3,040","25,606","4,445","47,127","10,205","7,625"
 1999 Oct ,"4,049","100,043","43,272","14,594","24,510","2,410","2,009","67,930","21,613","26,703","21,454","25,851","28,210","2,794","4,877",960,232,"1,170","39,333","16,932","6,875","3,235","6,624",996,"2,126","4,980","1,527","7,701","3,842","31,212","6,179","44,438","8,550","8,041"
 1999 Nov ,"4,945","91,174","43,396","13,449","16,878","2,403","1,669","76,513","19,639","34,123","27,071","29,368","25,938","2,718","4,517",795,228,"1,108","42,012","16,364","6,913","2,872","6,191","1,029","2,036","4,582","1,603","8,700","4,048","29,553","6,377","34,352","6,288","7,575"
 1999 Dec ,"7,144","131,422","52,751","13,574","19,235","2,127","1,906","72,312","21,639","33,475","24,967","24,635","26,705","2,951","6,077",790,181,"1,485","27,688","12,329","5,349","2,361","4,928","1,240","1,625","3,836","1,144","6,687","4,500","29,133","6,291","34,663","5,178","9,001"
 2000 Jan ,"4,138","149,528","41,261","11,809","15,792","1,698","1,479","72,131","16,288","38,887","19,329","32,621","22,301","2,598","4,136","1,441",549,"1,445","33,617","15,655","5,683","4,012","6,145","1,179","1,802","4,174","1,537","8,436","5,499","29,748","6,544","42,006","5,728","7,756"
 2000 Feb ,"3,538","88,342","42,072","13,111","16,981","3,073","1,525","71,245","28,265","45,148","30,528","28,932","21,597","2,944","4,256",680,205,958,"40,845","15,951","7,644","3,335","6,464",839,"1,875","4,588","1,664","9,493","4,298","33,919","7,412","30,932","4,447","6,035"
 2000 Mar ,"3,628","102,620","43,849","16,490","22,217","2,457","1,790","91,844","21,513","30,644","22,934","30,682","23,847","2,950","4,531","1,754",406,"1,577","42,812","16,300","6,592","3,137","6,453",908,"1,881","4,090","1,614","9,274","4,271","36,707","7,808","37,471","5,390","8,769"
 2000 Apr ,"5,527","100,059","47,993","19,269","29,985","2,830","1,971","60,540","29,308","36,511","27,737","27,237","29,317","3,293","7,335",760,233,"1,361","40,303","16,067","6,714","3,143","5,492",745,"1,929","4,519","1,656","7,870","3,615","29,099","5,610","41,391","7,992","10,398"
 2000 May ,"4,586","91,843","48,783","18,790","21,959","2,246","1,831","62,152","20,822","37,934","23,635","30,739","43,879","3,199","4,939",734,180,"1,115","27,903","12,535","5,207","2,565","4,978",800,"1,445","3,547","1,196","5,087","3,240","30,033","4,919","38,100","7,703","7,569"
 2000 Jun ,"5,533","105,539","48,426","14,706","21,446","3,251","2,062","67,977","22,011","30,706","26,582","25,318","38,287","3,597","5,121","3,122",451,"1,670","26,517","10,815","4,839","2,540","4,931",881,"1,393","2,995",969,"6,294","3,269","32,944","4,479","41,563","8,765","7,508"
 2000 Jul ,"5,448","128,207","43,423","13,936","20,357","2,978","1,669","84,634","30,218","36,148","35,570","32,960","28,127","5,159","5,171","7,175","2,029","4,001","34,664","11,990","7,282","3,438","7,986","1,294","2,422","4,301","1,464","8,256","3,726","34,455","5,430","48,583","11,535","9,129"
 2000 Aug ,"6,658","96,891","43,952","14,168","19,311","3,227","1,822","101,785","31,963","41,162","30,732","34,877","26,859","4,237","6,222","5,001","2,971","3,720","39,598","13,193","8,442","7,709","7,284","1,908","2,291","3,575","1,388","6,020","3,596","31,776","5,884","44,627","8,205","9,017"
 2000 Sep ,"4,545","94,625","50,267","13,683","19,266","2,584","1,655","89,417","20,566","31,239","19,824","23,207","28,881","3,570","4,970","1,262",460,"1,434","34,229","12,813","5,064","3,329","6,372","1,215","1,951","3,367",978,"5,787","3,153","28,323","4,250","49,341","12,237","7,297"
 2000 Oct ,"3,958","105,711","45,592","15,216","22,009","2,541","1,704","73,383","21,512","35,195","17,685","28,185","29,385","3,785","4,847","1,072",290,"1,168","40,203","15,791","5,840","3,254","7,781","1,305","2,425","4,612","1,223","8,353","3,916","32,670","5,851","48,281","8,837","8,342"
 2000 Nov ,"4,477","94,642","50,641","14,967","17,934","2,563","1,906","80,889","21,326","32,999","17,034","31,169","27,058","3,895","5,336",756,216,"1,097","42,316","16,171","6,041","3,071","7,156",934,"2,284","4,511","1,307","8,538","4,374","33,171","6,681","42,794","6,859","8,156"
 2000 Dec ,"5,877","155,309","58,491","14,887","19,493","2,389","2,677","73,898","22,183","37,762","19,314","28,426","26,818","3,268","6,306",994,231,"1,471","41,969","12,127","5,425","2,697","6,284","1,162","2,200","4,044",983,"8,164","4,187","32,740","6,525","45,258","6,576","9,532"
 2001 Jan ,"3,830","115,824","45,594","12,562","17,330","2,629","1,713","65,381","27,778","56,460","20,418","32,727","23,699","3,123","4,176","1,114",532,"1,321","45,231","12,891","5,384","3,023","6,299","1,079","1,740","4,065","1,241","8,790","5,947","33,297","7,071","50,416","7,220","8,385"
 2001 Feb ,"4,373","94,251","40,761","14,196","18,039","2,211","1,639","72,335","18,442","36,157","20,078","32,777","23,975","3,688","4,370",839,345,"1,076","44,240","15,611","6,564","3,338","6,395",783,"1,950","4,248","1,308","9,166","4,267","31,381","6,815","36,260","5,227","6,135"
 2001 Mar ,"4,668","110,821","47,514","17,002","22,656","2,490","1,808","85,655","27,025","30,320","16,438","32,441","27,300","3,861","4,970","1,440",469,"1,647","49,496","18,041","6,353","2,930","6,978",764,"2,088","4,061","1,407","9,359","4,361","35,194","7,461","41,910","5,854","7,786"
 2001 Apr ,"6,392","94,613","45,923","21,009","27,816","2,684","2,211","58,348","25,816","37,542","19,756","30,150","28,454","4,173","6,058",850,209,"1,434","40,964","15,126","6,434","2,316","5,334",687,"1,793","4,020","1,081","7,475","3,647","27,734","5,537","45,145","7,561","8,756"
 2001 May ,"4,867","99,026","53,572","19,195","25,807","2,340","1,595","58,984","19,806","41,999","16,381","28,842","41,233","3,991","4,826","1,007",256,"1,283","28,245","13,585","5,746","2,294","5,347",635,"1,878","3,198",793,"4,855","3,978","29,411","5,475","45,091","8,321","6,740"
 2001 Jun ,"5,522","109,705","52,523","15,870","22,556","3,043","1,962","64,582","23,752","31,882","19,445","26,914","36,281","4,702","4,227","2,502",471,"1,770","27,897","10,973","4,920","2,342","5,253",796,"1,491","2,840",770,"6,022","3,761","31,692","4,652","46,600","9,345","6,178"
 2001 Jul ,"6,083","135,816","47,020","14,460","21,522","3,618","1,754","76,373","24,929","45,570","25,185","34,830","28,493","6,358","4,731","8,469","2,316","4,095","36,151","12,761","7,441","3,514","7,987","1,139","2,472","4,051","1,438","8,220","3,918","32,865","5,682","55,458","11,376","8,608"
 2001 Aug ,"6,596","107,481","47,436","15,481","22,090","3,460","1,601","92,508","28,515","51,208","21,981","35,899","25,302","4,748","5,202","6,121","3,088","3,754","39,004","13,082","8,782","6,791","7,330","1,986","2,427","3,403","1,377","6,087","4,117","28,641","5,794","45,566","8,992","7,834"
 2001 Sep ,"4,665","98,188","53,851","14,553","19,644","3,854","2,038","69,850","20,024","34,386","15,218","23,526","27,260","3,785","4,262","1,288",437,"1,442","33,716","13,939","4,835","2,932","6,114","1,306","2,113","3,675","1,141","5,828","4,507","22,164","4,576","53,867","10,202","7,447"
 2001 Oct ,"4,436","115,797","43,037","15,289","25,476","2,871","1,783","35,970","19,363","42,586","14,259","24,125","25,595","1,537","4,207",458,189,"1,020","36,163","15,164","4,945","2,476","6,334",610,"1,929","4,561","1,200","7,255","3,874","19,271","4,786","50,839","8,449","6,641"
 2001 Nov ,"4,418","99,740","46,272","14,599","17,845","2,929","1,622","32,294","18,583","41,208","15,219","29,452","24,792",437,"4,085",305,133,"1,010","38,748","14,577","5,088","1,839","5,741",634,"2,010","4,162","1,358","6,844","3,981","23,970","5,347","38,329","5,692","5,580"
 2001 Dec ,"6,414","183,118","55,216","16,414","20,177","2,504","1,949","43,483","22,124","48,080","17,709","27,400","27,429",439,"5,134",720,245,"1,767","40,163","11,231","4,964","1,944","5,877",900,"1,529","4,235",937,"7,107","4,773","28,188","6,077","41,200","6,044","7,899"
 2002 Jan ,"4,031","105,008","40,207","13,518","18,648","2,536","2,048","47,447","16,630","50,303","18,995","38,613","24,841",705,"4,351",385,431,"1,551","44,699","12,520","5,454","2,141","5,847",962,"1,617","4,272","1,106","8,517","5,998","28,906","6,833","47,549","6,857","6,586"
 2002 Feb ,"4,090","90,150","43,635","13,668","17,579","2,987","1,367","49,583","26,760","81,649","21,463","30,745","21,446",452,"3,720",489,459,"1,289","44,836","13,124","7,060","2,487","5,411",859,"1,855","3,973","1,182","8,487","4,544","27,918","6,408","34,828","4,518","4,302"
 2002 Mar ,"4,517","114,203","44,116","20,245","22,804","2,704","1,768","68,549","24,043","42,728","16,038","38,393","29,162",774,"4,437",422,251,"1,378","51,015","17,412","6,981","3,137","6,054","1,096","2,507","4,480","1,495","9,754","4,672","30,479","6,751","42,579","6,093","6,658"
 2002 Apr ,"5,508","98,809","47,413","20,192","30,425","3,328","2,086","49,149","21,771","63,880","17,554","32,704","28,644",794,"5,820",480,221,"1,256","38,055","15,166","6,894","3,489","5,885",981,"1,728","3,929","1,308","7,078","4,108","24,640","4,903","45,350","6,945","6,248"
 2002 May ,"4,283","99,719","49,524","21,424","24,040","2,980","1,698","50,563","23,490","56,486","16,570","27,807","48,463",870,"4,496",296,217,"1,215","27,613","11,548","5,668","2,334","5,091",880,"1,517","3,423",829,"5,067","3,819","26,403","4,788","45,050","8,164","5,139"
 2002 Jun ,"5,132","116,715","44,066","16,442","22,060","3,989","2,060","54,892","22,965","41,186","17,251","27,519","40,405","1,015","3,988",504,473,"1,668","28,193","9,132","4,744","2,368","4,779","1,163","1,418","2,649",751,"5,753","3,122","28,614","4,175","48,334","10,113","5,965"
 2002 Jul ,"4,915","139,889","41,200","13,947","21,246","4,519","2,052","66,566","26,488","51,147","25,238","32,353","28,163","1,339","4,417","1,194","1,760","3,535","33,840","11,440","6,598","3,560","7,351","1,481","2,202","3,792","1,527","7,736","4,496","29,790","5,771","54,252","10,875","6,649"
 2002 Aug ,"6,290","105,888","40,172","13,951","21,075","4,085","2,144","85,655","26,513","62,699","22,147","39,236","27,263",906,"5,261",993,"2,270","3,638","37,921","12,441","8,144","6,671","6,388","1,759","1,948","3,296","1,459","5,154","3,924","27,730","5,611","43,873","9,291","6,541"
 2002 Sep ,"4,529","102,876","48,193","13,613","19,413","3,087","1,775","77,884","18,914","47,217","13,553","21,472","27,878",964,"4,303",467,411,"1,367","33,792","13,281","5,038","3,017","5,825","1,089","1,677","3,285","1,097","5,225","3,732","23,507","4,514","52,309","10,730","5,862"
 2002 Oct ,"5,100","117,010","44,455","16,762","25,699","3,865","1,799","58,489","21,025","57,693","15,730","28,827","33,223","1,157","4,480",411,289,"1,276","37,735","15,678","5,707","2,638","7,001",844,"1,716","3,938","1,281","7,270","3,932","26,044","5,553","50,054","8,364","6,067"
 2002 Nov ,"4,599","105,571","48,399","15,188","19,006","3,075","1,696","54,294","17,425","56,422","11,981","28,758","35,137",840,"3,876",409,88,998,"39,484","14,924","5,202","2,418","6,358",734,"2,025","4,122","1,472","6,944","4,221","25,976","6,043","35,907","5,964","5,150"
 2002 Dec ,"7,053","197,159","57,267","16,609","21,870","3,493","1,844","60,338","19,941","58,683","12,796","24,591","31,003",753,"5,540",702,243,"1,609","41,326","10,838","4,661","2,477","5,658",953,"1,531","4,071","1,137","7,946","4,886","27,644","6,593","38,293","6,188","7,666"
 2003 Jan ,"4,190","128,385","41,067","14,438","19,668","2,657","1,807","53,131","17,336","62,454","15,826","34,976","27,325",825,"4,245",350,361,"1,303","48,040","12,541","5,218","3,054","6,034",842,"1,623","4,068","1,295","8,887","6,167","29,475","7,685","46,479","7,540","6,806"
 2003 Feb ,"3,789","100,371","40,312","15,927","19,673","4,203","1,395","50,469","24,563","89,704","17,940","32,707","23,730",659,"3,849",500,353,"1,238","44,006","14,427","6,290","2,362","5,692",706,"1,749","3,837","1,210","8,901","5,195","24,805","6,208","31,270","4,552","4,938"
 2003 Mar ,"4,147","103,840","39,542","15,544","21,581","2,966","1,687","54,497","16,460","54,063","11,498","25,186","25,096",796,"4,044",252,116,"1,099","42,578","14,224","6,255","2,223","5,622",776,"1,543","3,410",996,"7,739","4,518","24,352","5,792","32,276","5,280","5,593"
 2003 Apr ,704,"38,859","13,321","7,796","6,318","1,094",986,"12,501","4,808","23,002","2,531","2,890","12,756",479,"1,718",87,19,406,"22,130","5,927","1,483",455,"2,870",304,494,"1,283",335,"3,673","2,377","5,640","1,769","13,845","3,148","2,228"
 2003 May ,469,"54,851","14,161","7,357","8,148",977,"1,052","7,056","5,510","3,994","1,283","2,552","13,087",392,"1,779",30,4,263,"12,867","3,963","1,418",271,"2,299",275,386,860,175,"1,893","1,930","6,422","1,395","12,198","2,911","1,468"
 2003 Jun ,"2,386","94,919","26,966","11,419","14,363","2,469","1,504","14,051","16,426","8,405","5,412","8,477","19,780",707,"4,279",93,38,837,"15,840","4,094","2,337",668,"2,925",308,597,"1,217",279,"3,015","2,399","13,192","2,185","20,786","4,390","2,380"
 2003 Jul ,"4,043","139,956","36,568","15,959","24,007","6,053","2,146","28,636","29,541","20,989","18,298","25,714","27,038","1,056","6,794",236,381,"2,415","28,032","8,183","5,231","1,469","5,067",781,"1,299","2,439",593,"5,465","2,902","22,059","3,495","37,699","7,785","5,073"
