   , Brunei Darussalam , Indonesia , Malaysia , Philippines , Thailand , Viet Nam , Myanmar , Japan , Hong Kong , China , Taiwan ," Korea, Republic Of ", India , Pakistan , Sri Lanka , Saudi Arabia , Kuwait , UAE , United Kingdom , Germany , France , Italy , Netherlands , Greece , Belgium & Luxembourg , Switzerland , Austria , Scandinavia , CIS & Eastern Europe , USA , Canada , Australia , New Zealand , Africa 
 1981 May , na , na , na , na , na , na , na ,"24,873","5,316",61,"3,640","1,876","12,380","1,303","1,620","1,193",186,554,"10,259","4,982","2,858","1,521","3,942", na ,712,"1,705", na ,"2,486",476,"12,743","1,827","20,643","5,088",932
 1981 Jun , na , na , na , na , na , na , na ,"24,589","5,986",46,"3,687","2,101","10,374","1,541","1,531","1,599",213,757,"8,712","4,272","2,680","1,333","3,668", na ,567,"1,474", na ,"2,027",481,"11,935","1,591","21,782","5,731",787
 1981 Jul , na , na , na , na , na , na , na ,"27,078","8,341",16,"5,424","1,970","9,366","1,545","1,889","2,138",199,915,"11,519","6,776","4,774","1,787","6,316", na ,"1,433","2,387", na ,"2,408",442,"12,402","2,091","24,046","5,529","1,118"
 1981 Aug , na , na , na , na , na , na , na ,"44,867","11,244",78,"5,626","2,071","9,229","1,306","1,979","2,587",391,"1,146","13,823","7,395","7,217","4,012","5,443", na ,"1,142","1,676", na ,"2,025",462,"11,678","1,751","22,540","6,883","1,149"
 1981 Sep , na , na , na , na , na , na , na ,"27,138","5,854",34,"3,402","1,545","8,196","1,100","1,674","1,885",147,698,"10,809","5,546","3,397","1,491","4,249", na ,600,"1,563", na ,"1,979",435,"10,235","1,320","20,311","5,950","1,056"
 1981 Oct , na , na , na , na , na , na , na ,"25,680","5,329",67,"3,775","1,945","11,122",960,"2,020","2,576",167,695,"13,607","7,036","4,233","1,713","3,963", na ,936,"2,569", na ,"3,708",602,"15,050","2,179","22,322","5,629","1,091"
 1981 Nov , na , na , na , na , na , na , na ,"33,614","5,832",112,"4,426","2,199","10,327","1,154","2,240","1,163",134,586,"13,044","6,974","3,753","1,988","3,771", na ,801,"2,626", na ,"3,891",676,"14,452","2,400","22,513","3,977",823
 1981 Dec , na , na , na , na , na , na , na ,"28,047","7,396",106,"5,376","2,543","12,576","1,233","2,586","1,539",148,776,"13,479","6,392","3,011","1,850","3,041", na ,660,"2,555", na ,"3,244",608,"9,958","2,112","23,841","4,590","1,641"
 1982 Jan , na , na , na , na , na , na , na ,"31,173","10,529",168,"5,820","1,831","9,777","1,151","1,817","1,505",220,813,"13,322","6,985","2,472","2,503","3,284", na ,607,"2,873", na ,"3,250",402,"9,724","2,140","26,900","4,872","1,570"
 1982 Feb , na , na , na , na , na , na , na ,"36,004","6,371",72,"6,204","2,308","10,453","1,055","1,729","1,493",275,586,"13,081","6,381","2,954","2,620","2,962", na ,636,"2,381", na ,"3,519",297,"12,150","2,411","17,638","2,972","1,112"
 1982 Mar , na , na , na , na , na , na , na ,"38,273","6,177",46,"5,552","2,638","9,521","1,181","1,909","1,729",596,656,"13,998","7,001","3,610","2,440","3,114", na ,777,"2,406", na ,"3,566",372,"12,892","2,388","21,105","3,915",922
 1982 Apr , na , na , na , na , na , na , na ,"24,943","7,671",34,"5,036","2,771","9,628","1,131","1,835","1,675",169,788,"12,426","6,769","3,268","1,421","3,047", na ,780,"2,227", na ,"2,810",346,"12,879","2,172","20,562","3,168",955
 1982 May , na , na , na , na , na , na , na ,"27,602","5,686",49,"4,703","2,745","13,381","1,134","1,662","1,395",181,667,"10,667","4,327","3,205","1,567","3,143", na ,734,"1,774", na ,"2,537",382,"13,980","2,095","21,446","5,355",868
 1982 Jun , na , na , na , na , na , na , na ,"28,715","6,357",89,"3,772","3,032","10,322","1,291","1,379","1,678",178,731,"9,402","3,969","2,624","1,504","2,941", na ,485,"1,451", na ,"2,233",369,"11,716","1,799","28,973","5,469",757
 1982 Jul , na , na , na , na , na , na , na ,"28,765","9,746",67,"6,255","2,959","7,651","1,057","1,710","2,555",219,"1,032","12,362","5,480","4,525","1,537","5,550", na ,840,"2,069", na ,"2,327",425,"12,462","2,238","27,156","6,228",781
 1982 Aug , na , na , na , na , na , na , na ,"45,289","12,636",73,"6,637","2,649","8,965","1,440","1,872","2,845",261,"1,096","13,600","5,794","5,949","3,376","4,460", na ,894,"1,783", na ,"2,210",389,"11,759","1,874","26,843","7,467","1,073"
 1982 Sep , na , na , na , na , na , na , na ,"29,157","6,777",219,"4,789","3,031","8,568","1,153","1,789","2,444",182,752,"11,348","4,674","3,191","1,460","3,596", na ,600,"1,641", na ,"2,384",412,"11,174","1,556","23,583","6,052","1,188"
 1982 Oct , na , na , na , na , na , na , na ,"28,806","6,691",176,"4,844","3,275","10,761","1,017","1,648","1,294",176,617,"13,061","5,976","3,359","1,406","3,297", na ,719,"2,418", na ,"3,736",366,"16,555","2,198","21,460","6,608",949
